Fator A	Fator B	Rep	Dados
N1	herb1	1	7
N1	herb1	2	6
N1	herb1	3	7
N2	herb1	1	20
N2	herb1	2	21
N2	herb1	3	22
N3	herb1	1	10
N3	herb1	2	12
N3	herb1	3	15
N1	herb2	1	8
N1	herb2	2	10
N1	herb2	3	11
N2	herb2	1	25
N2	herb2	2	22
N2	herb2	3	27
N3	herb2	1	10
N3	herb2	2	12
N3	herb2	3	11
N1	herb3	1	5
N1	herb3	2	4
N1	herb3	3	6
N2	herb3	1	15
N2	herb3	2	16
N2	herb3	3	14
N3	herb3	1	5
N3	herb3	2	7
N3	herb3	3	6
Test 1	Test 1	1	3
Test 1	Test 1	2	4
Test 1	Test 1	3	3
Test 2	Test 2	1	17
Test 2	Test 2	2	15
Test 2	Test 2	3	18
